"Name","Listing Source","Homepage","OfferOrRequestForm","SocialMedia","City","State","Country","Address"
"Burlington Babysitter Request / Services","","https://docs.google.com/forms/d/e/1FAIpQLSc1YI4uVONXpfvMgpH4YIjS-8XU_FBd6ESvBQjHiISpzOs_pg/viewform","https://docs.google.com/forms/d/e/1FAIpQLSc1YI4uVONXpfvMgpH4YIjS-8XU_FBd6ESvBQjHiISpzOs_pg/viewform","","Burlington","VT","USA","Burlington, Vermont, United States"
"Mutual Aid - New Orleans","","https://www.facebook.com/groups/MutualAidNOLA/?ref=br_rs","","https://www.facebook.com/groups/MutualAidNOLA/?ref=br_rs","New Orleans","LA","USA","New Orleans, Louisiana, USA"
"Raising Kane County","","https://www.raisingkane.io/","","","St. Charles","IL","USA","Saint Charles, Illinois, USA"
"Hunting Ridge COVID-19","","https://forms.gle/5kdyv6eyvyLu1WFv7","","","Baltimore","MD","USA","Baltimore, Maryland, United States"
"Western Massachusetts Community Mutual Aid network","","https://docs.google.com/document/d/1s7nxiKPSrAtfSyHDZwPz2M6O5SdiiF4a3z1k-capCXQ/edit","","","Chicopee","MA","USA","Chicopee, Massachusetts, USA"
"PDX Mutual Aid","","https://linktr.ee/pdxmutualaid","https://docs.google.com/forms/d/e/1FAIpQLSfAMZHbn6md19Tb28SM53ayFAQK02xJv1NXVjL-J26tDZOQ-g/viewform","https://www.facebook.com/pdxcovid19mutualaid","Portland","OR","USA","Portland, Oregon, United States"
"Mutual Aid Society Winnipeg","","https://www.facebook.com/groups/220944599058149/?ref=share","","https://www.facebook.com/groups/220944599058149/?ref=share","Winnipeg","MB","Canada","Winnipeg, Manitoba, Canada"
"Mutual Aid Colorado Springs","","https://docs.google.com/forms/d/e/1FAIpQLScjX-h6JXME_QkcbkaeXb6Rm9dSkMSu9ebvQvVu-bovF2_o1w/viewform","","https://www.facebook.com/groups/197210804946129/about/","Colorado Springs","CO","USA","Colorado Springs, Colorado, USA"
"Cville Community Care Team: COVID Response","","https://congregatecville.com/","https://cacf.iphiview.com/cacf/GIVENOW/AccountInformation/tabid/524/dispatch/accountselection_id$140734_hash$e621469f5bc6f507dea0f0c6253f9ce280a69c36/Default.aspx","https://www.facebook.com/cvilleareacf/","Charlottesville","VA","USA","Charlottesville, Virginia, USA"
"Hartland-Area Mutual Aid","","https://docs.google.com/forms/d/e/1FAIpQLSfG9nNy5tJlqN4yWXLIvX6abE1hHSUo7sw2SkRhsSy1h6sgaA/viewform?fbclid=IwAR0SC4N2J_cWXKv1u-SwLCXXGxWEp7GVXTUoQ5mm3ujf4USjT6rl9oxQFh0","https://docs.google.com/forms/d/e/1FAIpQLSfG9nNy5tJlqN4yWXLIvX6abE1hHSUo7sw2SkRhsSy1h6sgaA/viewform?fbclid=IwAR0SC4N2J_cWXKv1u-SwLCXXGxWEp7GVXTUoQ5mm3ujf4USjT6rl9oxQFh0","","Harland","VT","USA","Hartland, Vermont, USA"
"Morgantown Delivery Team","","https://docs.google.com/forms/d/e/1FAIpQLSfmNtj_qPev4UM5pThgNs169nxCryEsJrIu1a8XujY3WynGIg/viewform?fbclid=IwAR3ukqdosbB17C7luB5hr1roz76RI7hcx_Dvy2I6BwMKOT2cYxuxymnNAX0","","","Morgantown","WV","USA","Morgantown, West Virginia, USA"
"COVID Mutual Aid: Friendship/Bloomfield","","https://www.facebook.com/groups/2655530078016420/?ref=share","","https://www.facebook.com/groups/2655530078016420/?ref=share","Pittsburgh","PA","USA","Bloomfield, Pittsburgh, Pennsylvania 15224, USA"
"Combating COVID-19 in Highland Park, MI (& Surrounding Communities)","","https://www.facebook.com/groups/646455195924175/","https://docs.google.com/forms/d/e/1FAIpQLSfc15hrr6Fym_95gXA_drt18qrqZEKANTu0dgHI44BYfHL6tg/viewform","https://www.facebook.com/groups/646455195924175/","Detroit","MI","USA","Detroit, Michigan, USA"
"New Mexico / Albuquerque: Help Needed in Albuquerque COVID-19","","https://www.facebook.com/groups/247465889623611/?ref=share","","https://www.facebook.com/groups/247465889623611/?ref=share","Albuquerque","NM","USA","Albuquerque, New Mexico, USA"
