"Name","Classification","Homepage","SocialMedia","Locality","Lat","Lng","Address","Country","Description","SupportRequest","SupportOffer","Hotline","Tags","Notes","ListingSource","ListingSourceId","ListingSourceUpdated"
"Burlington Babysitter Request / Services","","https://docs.google.com/forms/d/e/1FAIpQLSc1WtXhniBjOFAM8VAZz6FwTLebXfzikqalpvvhKF8mS3lYBA/viewform","","Burlington, VT",44.4724,-73.2115,"Burlington, Vermont, United States","USA","","https://docs.google.com/forms/d/e/1FAIpQLSc1WtXhniBjOFAM8VAZz6FwTLebXfzikqalpvvhKF8mS3lYBA/viewform","https://docs.google.com/forms/d/e/1FAIpQLSc1YI4uVONXpfvMgpH4YIjS-8XU_FBd6ESvBQjHiISpzOs_pg/viewform","","","","mutualaidhub.org","649",
"Mutual Aid - New Orleans","FacebookMutualAid","https://www.facebook.com/groups/MutualAidNOLA/?ref=br_rs","https://www.facebook.com/groups/MutualAidNOLA/?ref=br_rs","New Orleans, LA",29.9499,-90.0701,"New Orleans, Louisiana, USA","USA","","","","","","","mutualaidhub.org","650",
"Raising Kane County","","https://www.raisingkane.io/","","St. Charles, IL",41.9142,-88.3087,"Saint Charles, Illinois, USA","USA","","","","","","","mutualaidhub.org","651",
"Hunting Ridge COVID-19","","https://forms.gle/5kdyv6eyvyLu1WFv7","","Hunting Ridge, Baltimore, MD",39.2909,-76.6108,"Baltimore, Maryland, United States","USA","","","","","","","mutualaidhub.org","652",
"Western Massachusetts Community Mutual Aid network","","https://docs.google.com/document/d/1s7nxiKPSrAtfSyHDZwPz2M6O5SdiiF4a3z1k-capCXQ/edit","","Chicopee, MA",42.1487,-72.6079,"Chicopee, Massachusetts, USA","USA","","","","","","","mutualaidhub.org","653",
"PDX Mutual Aid","","https://linktr.ee/pdxmutualaid","https://www.facebook.com/pdxcovid19mutualaid","Portland, OR",45.5202,-122.6742,"Portland, Oregon, United States","USA","","https://docs.google.com/forms/d/e/1FAIpQLSdWmeBGnqdX14Q5ihC66u-bYzJ1oaJcigu_Vx44AJPRSoDMtQ/viewform?usp=send_form","https://docs.google.com/forms/d/e/1FAIpQLSfAMZHbn6md19Tb28SM53ayFAQK02xJv1NXVjL-J26tDZOQ-g/viewform","","","","mutualaidhub.org","654",
"Mutual Aid Society Winnipeg","FacebookMutualAid","https://www.facebook.com/groups/220944599058149/?ref=share","https://www.facebook.com/groups/220944599058149/?ref=share","Winnipeg, MB",49.8833,-97.1667,"Winnipeg, Manitoba, Canada","Canada","","","","","","","mutualaidhub.org","655",
"Mutual Aid Colorado Springs","FacebookMutualAid","https://www.facebook.com/groups/197210804946129/about/","https://www.facebook.com/groups/197210804946129/about/","Colorado Springs, CO",38.834,-104.8253,"Colorado Springs, Colorado, USA","USA","","","","","","","mutualaidhub.org","656",
"CUNY Mutual Aid","","https://forms.gle/TMCDhn3pjjwintQHA","","New York City, NY",40.7648,-73.9808,"New York City, New York, United States","USA","","https://forms.gle/TMCDhn3pjjwintQHA","","","","","mutualaidhub.org","657",
"Cville Community Care Team: COVID Response","","https://congregatecville.com/","https://www.facebook.com/cvilleareacf/","Charlottesville, VA",38.0293,-78.4767,"Charlottesville, Virginia, USA","USA","","","https://cacf.iphiview.com/cacf/GIVENOW/AccountInformation/tabid/524/dispatch/accountselection_id$140734_hash$e621469f5bc6f507dea0f0c6253f9ce280a69c36/Default.aspx","","","","mutualaidhub.org","658",
"Hartland-Area Mutual Aid","","https://docs.google.com/forms/d/e/1FAIpQLSfG9nNy5tJlqN4yWXLIvX6abE1hHSUo7sw2SkRhsSy1h6sgaA/viewform?fbclid=IwAR0SC4N2J_cWXKv1u-SwLCXXGxWEp7GVXTUoQ5mm3ujf4USjT6rl9oxQFh0","","Harland, VT",43.5406,-72.399,"Hartland, Vermont, USA","USA","","","https://docs.google.com/forms/d/e/1FAIpQLSfG9nNy5tJlqN4yWXLIvX6abE1hHSUo7sw2SkRhsSy1h6sgaA/viewform?fbclid=IwAR0SC4N2J_cWXKv1u-SwLCXXGxWEp7GVXTUoQ5mm3ujf4USjT6rl9oxQFh0","","","","mutualaidhub.org","659",
"Morgantown Delivery Team","","https://docs.google.com/forms/d/e/1FAIpQLSfmNtj_qPev4UM5pThgNs169nxCryEsJrIu1a8XujY3WynGIg/viewform?fbclid=IwAR3ukqdosbB17C7luB5hr1roz76RI7hcx_Dvy2I6BwMKOT2cYxuxymnNAX0","","Morgantown, WV",39.6295,-79.9559,"Morgantown, West Virginia, USA","USA","","","","","","","mutualaidhub.org","660",
"COVID Mutual Aid: Friendship/Bloomfield","FacebookMutualAid","https://www.facebook.com/groups/2655530078016420/?ref=share","https://www.facebook.com/groups/2655530078016420/?ref=share","Friendship/Bloomfield, Pittsburgh, PA",40.4618,-79.9496,"Bloomfield, Pittsburgh, Pennsylvania 15224, USA","USA","","","","","","","mutualaidhub.org","661",
"Combating COVID-19 in Highland Park, MI (& Surrounding Communities)","FacebookMutualAid","https://www.facebook.com/groups/646455195924175/","https://www.facebook.com/groups/646455195924175/","Highland Park, Detroit, MI",42.3487,-83.0567,"Detroit, Michigan, USA","USA","","https://docs.google.com/forms/d/e/1FAIpQLSfc15hrr6Fym_95gXA_drt18qrqZEKANTu0dgHI44BYfHL6tg/viewform","https://docs.google.com/forms/d/e/1FAIpQLSfc15hrr6Fym_95gXA_drt18qrqZEKANTu0dgHI44BYfHL6tg/viewform","","","","mutualaidhub.org","662",
"New Mexico / Albuquerque: Help Needed in Albuquerque COVID-19","FacebookMutualAid","https://www.facebook.com/groups/247465889623611/?ref=share","https://www.facebook.com/groups/247465889623611/?ref=share","Albuquerque, NM",35.0841,-106.651,"Albuquerque, New Mexico, USA","USA","","","","","","","mutualaidhub.org","663",
"High Desert Mutual Aid Society","FacebookMutualAid","https://www.facebook.com/Highdesertmutualaid","https://www.facebook.com/Highdesertmutualaid","Victorville, CA",34.5361,-117.2912,"Victorville, California, United States","USA","","","","","","","mutualaidhub.org","664",
"Nesterly Good Neighbors","","https://www.nesterlygoodneighbors.com/","https://www.facebook.com/nesterlygoodneighbors","Greater Boston, Boston, MA",42.3605,-71.0596,"Boston, Massachusetts, United States","USA","","","","","","","mutualaidhub.org","665",
"COVID-19 Lockport Area Mutual Aid","FacebookMutualAid","https://www.facebook.com/Covid-19-Lockport-Area-Mutual-Aid-100285148300404/","https://www.facebook.com/Covid-19-Lockport-Area-Mutual-Aid-100285148300404/","Lockport, IL",41.5895,-88.0578,"Lockport, Illinois, USA","USA","","","","","","","mutualaidhub.org","666",
"DSA Ventura County COVID-19 Mutual Aid","","https://www.dsaventuracounty.org/covid_19_mutual_aid","https://www.facebook.com/DSAVenturaCounty/","Oxnard, CA",34.1975,-119.1771,"Oxnard, California, USA","USA","","https://docs.google.com/forms/d/e/1FAIpQLSdwbRdSE4TSQqNXw0kvzqOYRTf6ANfR7v-GwKZBwyU3dkCGRA/viewform","https://docs.google.com/forms/d/e/1FAIpQLSdo47CkpxhXmy4wD5tJJqVGS2inJstQb25kZBPCCzZhgrosug/viewform","","","","mutualaidhub.org","667",
"361 Information & Resource Exchange","FacebookMutualAid","https://www.facebook.com/groups/1459248917568349/?ref=group_header","https://www.facebook.com/groups/1459248917568349/?ref=group_header","Corpus Christi, TX",27.8003,-97.3956,"Corpus Christi, Texas, USA","USA","","","","","","","mutualaidhub.org","668",
"DSA Mutual Aid | Solidarity Economy Milwaukee","","http://milwaukee.dsawi.org/our-committees-and-working-groups/solidarity-economy-mutual-aid-working-group/","","Milwaukee, WI",43.0115,-87.9735,"Milwaukee, Wisconsin, United States","USA","","","","","","","mutualaidhub.org","669",
"Topanga Community Center with the Canyon Sages","","https://topangacommunitycenter.org/","","Topanga, CA",34.0908,-118.597,"Topanga, California, United States","USA","","https://docs.google.com/forms/d/e/1FAIpQLSeo0fLtUyKmpz3NJ3K-fBN9nUNdqXl18_trR3Ps7BQIYsK7OA/viewform","https://docs.google.com/forms/d/e/1FAIpQLSdUG5QogDLHE2FGyXCDyq6tpfdC56C-cqmNiKWGqKnc4Bm1tw/viewform?usp=send_form","","","","mutualaidhub.org","670",
"Beverly Neighbors Helping Neighbors","","https://docs.google.com/forms/d/e/1FAIpQLSews1VUUpOzf9s7hTdRL_ieuSgEgPwTfGamo6NfHbpCO9Jp9w/viewform?fbclid=IwAR3rvSH9_voZGiX5aA7WojVd6T-nl8YoOeaG2Ep8EUEDTVdPvWkFfkj-e6c","","Beverly, MA",42.5584,-70.88,"Beverly, Massachusetts, USA","USA","","","","","","","mutualaidhub.org","671",
"Cumberland Valley Cares","","https://www.cumberlandvalleycares.com/","https://www.facebook.com/cumberlandvalleycares/","Harrisburg, PA",40.2663,-76.8861,"Harrisburg, Pennsylvania, United States","USA","","https://www.cumberlandvalleycares.com/request-delivery","https://www.cumberlandvalleycares.com/request-delivery","","","","mutualaidhub.org","672",
"Connecticut / Hartford, Bridgeport, Waterbury, New Haven: Mutual Aid Network (Spanish version)","","https://docs.google.com/document/d/19cK5eq_unhr0z4T_AGkKO93r7-qJqQ3LxuXjlWvY62A/edit","","Hartford, CT",41.7635,-72.6831,"Hartford, Connecticut, United States","USA","","","","","","","mutualaidhub.org","673",
"Moutain Communities COVID-19 Mutual Aid","FacebookMutualAid","https://www.facebook.com/groups/MCCMA","https://www.facebook.com/groups/MCCMA","Idyllwild-Pine Cove, CA",33.74,-116.7189,"Idyllwild-Pine Cove, California, United States","USA","","https://airtable.com/shrAp2BJznGM3ASLZ","https://airtable.com/shrR3vHabEP0OT9d2","","","","mutualaidhub.org","674",
"Pontiac Coronavirus Emergency Relief Food/Supplies","","https://www.signupgenius.com/go/30e0b48aaa628a13-drive","","Pontiac, MI",42.6389,-83.291,"Pontiac, Michigan, USA","USA","","","https://www.signupgenius.com/go/30e0b48aaa628a13-drive","","","","mutualaidhub.org","675",
"Brattleboro Area Mutual Aid","","https://linktr.ee/scoffsatgravity","","Brattleboro, VT",42.8509,-72.5579,"Brattleboro, Vermont, USA","USA","","https://docs.google.com/spreadsheets/d/1D-85W9O6WzZhnv5l4aIQnFJ6HDH-uoVT280SrwRin-A/edit?usp=drivesdk","https://docs.google.com/spreadsheets/d/1P0qfRBYbyCwoGgFiv_WQU4K0a-TTDpiI7yv9wPxuA4M/edit?usp=drivesdk","","","","mutualaidhub.org","676",
"California / South Bay: South Bay Mutual Aid Intake","","https://airtable.com/shr6XDSLNt5aqIFbN","","South Bay, Santa Clara, CA",37.3541,-121.9552,"Santa Clara, California, United States","USA","","https://airtable.com/shr6XDSLNt5aqIFbN","https://airtable.com/shrPVpyPFlFlJO5cG","","","","mutualaidhub.org","677",
"Medfield Mutual Aid","","https://docs.google.com/document/d/1Ig8cjg_ADScwu8Mq4oZVjBgEB0eINZoLJ0bdmKyG7JQ/edit","","Medfield, MA",42.1866,-71.3055,"Medfield, Massachusetts, United States","USA","","https://docs.google.com/document/d/1Ig8cjg_ADScwu8Mq4oZVjBgEB0eINZoLJ0bdmKyG7JQ/edit","","","","","mutualaidhub.org","678",
"Astoria Mutual Aid Network","","https://www.astoriamutualaid.com/","","New York City, NY",40.7648,-73.9808,"New York City, New York, United States","USA","","","","","","","mutualaidhub.org","679",
"North Jersey Mutual Aid Resources","","https://docs.google.com/forms/d/e/1FAIpQLSf0cqFpnzSuvbDxpgdG4Cs7l96xuOTqI8ydtFl_t-iO6A08NQ/viewform","https://www.facebook.com/groups/349149839305990/","Paterson, NJ",40.9168,-74.1718,"Paterson, New Jersey, USA","USA","","","","","","","mutualaidhub.org","680",
"Queens Mutual Aid Network","","https://docs.google.com/spreadsheets/d/1wNNGfygBEQL3GiuNoonFk-jznd0VIrmXVBloytaK1gc/edit#gid=1975280849","","Queens, New York City, NY",40.7648,-73.9808,"New York City, New York, United States","USA","","","","","","","mutualaidhub.org","681",
"Boise/Mississippi Pandemic Mutual Aid","FacebookMutualAid","https://www.facebook.com/groups/228056038575798/","https://www.facebook.com/groups/228056038575798/","Boise/Mississippi, Portland, OR",45.5202,-122.6742,"Portland, Oregon, United States","USA","","","","","","","mutualaidhub.org","682",
"Care Web Austin","","","","Austin, TX",30.2711,-97.7437,"Austin, Texas, USA","USA","","","","","","","mutualaidhub.org","683",
"New Paltz Neighbor to Neighbor","","https://docs.google.com/forms/d/e/1FAIpQLSdPvf109_31PMeVW1UJi2mc-cBoXqrNvxMZltbPXWRuObEyYw/viewform","","New Paltz, NY",41.7465,-74.0845,"New Paltz, New York, United States","USA","","","","","","","mutualaidhub.org","684",
"Haight Neighborhood Help Group","FacebookMutualAid","https://www.facebook.com/groups/214731853107680/","https://www.facebook.com/groups/214731853107680/","Haight-Ashbury, San Francisco, CA",37.7648,-122.463,"San Francisco, California, United States","USA","","","https://docs.google.com/forms/d/e/1FAIpQLSdVyyRhv2AxKHUoSXV-pvn6s1IX_BfW9J8wjkR11FcQ-i5aWw/viewform","","","","mutualaidhub.org","685",
"Southern Alameda County Mutual Aid Network","FacebookMutualAid","https://www.facebook.com/groups/581603675902738/","https://www.facebook.com/groups/581603675902738/","Fremont, CA",37.5483,-121.9886,"Fremont, California, USA","USA","","","","","","","mutualaidhub.org","686",
"The New School Student Mutual Aid Group","","https://forms.gle/kwWNwH3TmGz3AJQT8","","New York City, NY",40.7648,-73.9808,"New York City, New York, United States","USA","","","","","","","mutualaidhub.org","687",
"COVID-19 Resource Spreadsheet","","https://docs.google.com/spreadsheets/d/19ulf0RqGhtTijdL3urOq5DLSlXQ7YbuXWTTuGuK3MUo/edit?fbclid=IwAR1HvKMli_9j5XjkBjguiPgPeaRbsDfaGaBe_Wsx65-SHybWDzj-TEuRmOU#gid=0","","Greensboro, NC",36.0726,-79.792,"Greensboro, North Carolina, USA","USA","","","","","","","mutualaidhub.org","688",
"Nevada / Las Vegas: Las Vegas DSA COVID-19 Mutual Aid Form","","https://docs.google.com/forms/d/e/1FAIpQLSeTcriSCf7XcSEC21ayAZmoytmrOkD7zB92z_d5UuTAynWo0g/viewform","","Las Vegas, NV",36.1663,-115.1492,"Las Vegas, Nevada, USA","USA","","","https://docs.google.com/forms/d/e/1FAIpQLSeTcriSCf7XcSEC21ayAZmoytmrOkD7zB92z_d5UuTAynWo0g/viewform","","","","mutualaidhub.org","689",
"Knollwood Neighborhood Covid-19 Response","","https://docs.google.com/forms/d/e/1FAIpQLSeKfWok4FoQHJRXlmUEiaqtne7eOfuYWnrv69O4WX5e39jzYw/viewform?fbclid=IwAR33STBwrAQMZeHHT_5Obmy7HUVkTBHmg1G45bmgeTHZaR3hkNpRJlzTX2I","","Knollwood, Baltimore, MD",39.2909,-76.6108,"Baltimore, Maryland, United States","USA","","","","","","","mutualaidhub.org","690",
"Cascade Locks: Coronavirus Resources","","https://docs.google.com/document/d/1aRR5UXXiHMbM94cAjc6p2SJ47_yyzPFnCNUGysYrrCs/edit?usp=drivesdk","","Cascade Locks, OR",45.6695,-121.8904,"Cascade Locks, Oregon, USA","USA","","","","","","","mutualaidhub.org","691",
"South Bend Mutual Aid","","https://linktr.ee/southbend_mutualaid","","South Bend, IN",41.6834,-86.25,"South Bend, Indiana, United States","USA","","","","","","","mutualaidhub.org","692",
"DC Mutual Aid (Multiple Neighborhood Groups)","","https://docs.google.com/spreadsheets/d/1wLncKL-9ixUFV_UIW08SO-MNVVMhupcK1sFtlTt5L3M/edit#gid=1634357411","","Washington, DC",38.895,-77.0366,"Washington, DC, USA","USA","","","","","","","mutualaidhub.org","693",
"West Chester IFC","","https://docs.google.com/forms/d/e/1FAIpQLSfRaAzoa_V0whmEN5mcLzyvmF40Z1X-D1rJyH6AV8g4O5UinQ/viewform?usp=sf_link","","West Chester, PA",39.9597,-75.606,"West Chester, Pennsylvania, United States","USA","","","","","","","mutualaidhub.org","694",
"Durham Mutual Aid","","https://durhammutualaid.org/","https://www.facebook.com/groups/durhammutualaid/","Durham, NC",35.994,-78.8986,"Durham, North Carolina, USA","USA","","https://durhammutualaid.org/get-support/","","","","","mutualaidhub.org","695",
