"Name","Classification","Homepage","SocialMedia","Locality","Lat","Lng","Address","Country","Description","SupportRequest","SupportOffer","Hotline","Tags","Notes","ListingSource","ListingSourceId","ListingSourceUpdated"
"Canada / Vancouver: Mutual Aid for Metro Vancouver — COVID-19 — Social Distancing Solidarity (Coast Salish Land)","","https://coda.io/@awsamuel/vancouver-mutual-aid/","","Vancouver, BC",,,,"Canada","","","","","","","NA_Mutual_Aid_Networks.csv",,"2020-04-01"
"YVR Mutual Aid Society","","https://docs.google.com/forms/d/1qKqD1J-M_VVFhR8ZQ8IfBCnD42XkcG71-4e8DOc22bI/viewform?ts=5e712036&fbclid=IwAR2jkwnIvMN2WS8AQG-ioIx9WofmQy6qwRYt38BKUYWTGBax929tfFm4tE8&edit_requested=true#responses","https://www.facebook.com/groups/201774001271150/","Vancouver, BC",,,,"Canada","","","","","","","NA_Mutual_Aid_Networks.csv",,"2020-04-01"
"Mutual Aid Society Winnipeg","FacebookMutualAid","https://www.facebook.com/groups/220944599058149/?ref=share","https://www.facebook.com/groups/220944599058149/?ref=share","Winnipeg, MB",,,,"Canada","","","","","","","NA_Mutual_Aid_Networks.csv",,"2020-04-01"
"Hamilton Community Response","FacebookMutualAid","https://www.facebook.com/groups/Hamont.Response.COVID19/","https://www.facebook.com/groups/Hamont.Response.COVID19/","Hamilton, ON",,,,"Canada","","","","","","","NA_Mutual_Aid_Networks.csv",,"2020-04-01"
"Toronto Community Response","FacebookMutualAid","https://www.facebook.com/groups/TO.Community.Response.COVID19/","https://www.facebook.com/groups/TO.Community.Response.COVID19/","Toronto, ON",,,,"Canada","","","","","","","NA_Mutual_Aid_Networks.csv",,"2020-04-01"
"Canada / Montreal: Montreal COVID-19: Mutual Aid Mobilisation d’entraide","FacebookMutualAid","https://www.facebook.com/groups/1005041203222884/?ref=share","https://www.facebook.com/groups/1005041203222884/?ref=share","Montreal, QB",,,,"Canada","","","","","","","NA_Mutual_Aid_Networks.csv",,"2020-04-01"
"Mutual Aid Network of Anchorage (MANA)","","https://docs.google.com/document/d/1TiIejUtkzhGf19CzVoSnWi9Ag3yQK1V_dlyOBy5-I9E/edit","","Anchorage, AK",,,,"USA","","","https://forms.gle/UErVTrWf4uCvqtao6","","","","NA_Mutual_Aid_Networks.csv",,"2020-04-01"
"Alaska COVID-19 Community Response","","https://docs.google.com/document/d/1EMLgquSQCWLlMlGXDZO1x2JU73ytKL9X2MrrLGSGfLE/edit","","Anchorage, AK",,,,"USA","","","","","","","NA_Mutual_Aid_Networks.csv",,"2020-04-01"
"Anchorage Grocery Network","FacebookMutualAid","https://www.facebook.com/groups/1478276402342024/","https://www.facebook.com/groups/1478276402342024/","Anchorage, AK",,,,"USA","","","","","","","NA_Mutual_Aid_Networks.csv",,"2020-04-01"
"Fairbanks Mutual Aid","","https://docs.google.com/document/d/e/2PACX-1vTPNaoLRnV1YBI9RAqcspAlmvZje-0urve47FzVbBNd3EyN_sxq5dKCf_oXUbWEK7flbCH5R52_xXCo/pub","","Fairbanks, AK",,,,"USA","","","","","","","NA_Mutual_Aid_Networks.csv",,"2020-04-01"
"Juneau Mutual Aid","","https://juneaumutualaid.weebly.com/","","Juneau, AK",,,,"USA","","","","","","","NA_Mutual_Aid_Networks.csv",,"2020-04-01"
"Sitka COVID-19 Community Group","FacebookMutualAid","https://www.facebook.com/groups/2751993664836011/about/","https://www.facebook.com/groups/2751993664836011/about/","Sitka, AK",,,,"USA","","","","","","","NA_Mutual_Aid_Networks.csv",,"2020-04-01"
"Lee County, Alabama Mutual Aid","FacebookMutualAid","https://www.facebook.com/groups/272091500463089/","https://www.facebook.com/groups/272091500463089/","Auburn, AL",,,,"USA","","","","","","","NA_Mutual_Aid_Networks.csv",,"2020-04-01"
"Alabama / Birmingham: Birmingham Mutual Aid","","https://docs.google.com/document/d/12wY7BG4wzI0TJ6IHIg231iJX6bZ7T0NqPKRiexCColo/edit","","Birmingham, AL",,,,"USA","","","","","","","NA_Mutual_Aid_Networks.csv",,"2020-04-01"
"Birmingham Mutual Aid Offers","","https://docs.google.com/spreadsheets/d/1S_lTSSZQR_FkSFekSeIZ4bHVfCcMHiPFUMr5PRzzXHc/edit#gid=1163479279","","Birmingham, AL",,,,"USA","","","https://docs.google.com/spreadsheets/d/1S_lTSSZQR_FkSFekSeIZ4bHVfCcMHiPFUMr5PRzzXHc/edit#gid=1163479279","","","","NA_Mutual_Aid_Networks.csv",,"2020-04-01"
