"Name","Classification","Homepage","SocialMedia","Locality","Lat","Lng","Address","Country","Description","SupportRequest","SupportOffer","Hotline","Tags","Notes","ListingSource","ListingSourceId","ListingSourceUpdated"
"REMOVE LLC.","","https://www.removela.com",,"Los Angeles, California",34.0522,-118.2437,,,"REMOVE is a small business modernizing trash and junk removal services through community outreach and redistribution. We can help provide moving and removal services for families and individuals who need help clearing space in their yards or their home as they ""stay in place"". Additionally, any who needs any items (beds, tables, appliances) please reach out as we have many items we can give away free of charge.","https://www.removela.com",,"+1 213 545 2062","","","Reach4Help",,"2020-04-01"
"Carbondale Colorado Mutual Aid","","https://www.carbondalegov.org/government/emergency/index.php","https://www.facebook.com/groups/CarbondaleCOMutualAid/","Carbondale, Colorado",39.40057,-107.2135,,,,,,,"","","Reach4Help",,"2020-04-01"
"Birmingham Mutual Aid","","https://docs.google.com/document/d/12wY7BG4wzI0TJ6IHIg231iJX6bZ7T0NqPKRiexCColo/edit","https://www.facebook.com/groups/birminghammutualaid/","Birmingham, Alabama",33.5186,-86.8104,,,,"https://bit.ly/BHAMMA_RequestsForm","https://bit.ly/BHAMMA_OffersForm",,"","","Reach4Help",,"2020-04-01"
"Kinlani (Flagstaff) Mutual Aid","","https://docs.google.com/forms/d/e/1FAIpQLSe4pQRyPNF9nqly1KNQobRtMUCf_kVSUp2RyBFknfUmejvfLA/viewform",,"Flagstaff, Arizona",35.1983,-111.6513,,,,"https://docs.google.com/forms/d/e/1FAIpQLSe4pQRyPNF9nqly1KNQobRtMUCf_kVSUp2RyBFknfUmejvfLA/viewform","https://docs.google.com/forms/d/e/1FAIpQLSe4pQRyPNF9nqly1KNQobRtMUCf_kVSUp2RyBFknfUmejvfLA/viewform",,"","","Reach4Help",,"2020-04-01"
"Phoenix Mutual Aid","","https://docs.google.com/spreadsheets/d/1OVJ1AMWXH3tjutOq8cKYJIK8RByqmaVLV8TYRS-48OU/edit#gid=0","https://www.facebook.com/groups/144504496872461/145065600149684/","Phoenix, Arizona",33.4484,-112.074,,,,,,,"","","Reach4Help",,"2020-04-01"
"Tucson Community Mutual Aid","","https://docs.google.com/forms/d/e/1FAIpQLSdXG35r7SWGr3tSlTJb5UDa_lpUqd79l5zZ38jo6StYd4gt0Q/viewform?fbclid=IwAR11Pb7xk6shNjAsu8ue3OWBpL5oH9u7zUNE86NQeVbdtads9S0AnNh4Cv4",,"Tucson, Arizona",32.2226,-110.9747,,,,,"https://docs.google.com/forms/d/e/1FAIpQLSdXG35r7SWGr3tSlTJb5UDa_lpUqd79l5zZ38jo6StYd4gt0Q/viewform?fbclid=IwAR11Pb7xk6shNjAsu8ue3OWBpL5oH9u7zUNE86NQeVbdtads9S0AnNh4Cv4",,"","","Reach4Help",,"2020-04-01"
"Covid-19 Financial Solidarity","","http://bit.ly/COVIDmutualaid",,"Bay Area, California",37.8272,-122.2913,,,,"http://bit.ly/COVIDmutualaidrequestform",,,"","","Reach4Help",,"2020-04-01"
"Bay Area Senior/Disability/Worker Mutual Aid","","https://docs.google.com/forms/d/1hqLnUN22aMoRnKnJJF2CzNP7u-RG5-rhZAz509z9wxE/viewform",,"Bay Area, California",37.8272,-122.2913,,,,"https://docs.google.com/forms/d/1hqLnUN22aMoRnKnJJF2CzNP7u-RG5-rhZAz509z9wxE/viewform","https://docs.google.com/forms/d/1hqLnUN22aMoRnKnJJF2CzNP7u-RG5-rhZAz509z9wxE/viewform",,"","","Reach4Help",,"2020-04-01"
"East Bay Disabled Folks COVID-19 Support","","https://tinyurl.com/DJCCally",,"East Bay, California",37.8334,-122.2601,,,,"https://tinyurl.com/DJCCsupportform","https://tinyurl.com/DJCCally",,"","","Reach4Help",,"2020-04-01"
"Long Beach Mutual Aid","","https://docs.google.com/spreadsheets/d/1P97OgODtjy9MIhLJFJUoZ8VgzaF1Zap8QFgF-ozp4fM",,"Long Beach, California",33.8045,-118.1678,,,,,,,"","","Reach4Help",,"2020-04-01"
