,unique_id,Name,Homepage,image_url,Description,City,State,Country,Lat,Lng
0,5ea9e784b028143f440006a3,Portland Native Community Covid-19 Response Hub,https://portlandnativecommunity.recovers.org,,This site is designed to facilitate community preparedness and recovery. Residents can request help or sign up to donate and volunteer. Organizations can help by clicking “I Represent a Local Organization” at the upper-right.,Portland,Oregon,US,-122.67562999999996,45.511790000000076
1,5e9ca071b02814dd2d001106,South Eugene Inter-Neighborhood Coalition,https://southeugene.recovers.org,https://recovers-org-production.s3.amazonaws.com/slideshows/files/slideshow_image/image/5e9deda6b02814ce3d00194f/orbit_four_columns_All_4_logos.jpg,This site is designed to facilitate community preparedness and recovery. Residents can request help or sign up to donate and volunteer. Organizations can help by clicking “I Represent a Local Organization” at the upper-right.,Eugene,Oregon,US,-123.08853999999997,44.04992000000004
2,5e9b5561b028145183000798,Testing for africa covid response,https://recoverstestforafrica.recovers.org,,This site is designed to facilitate community preparedness and recovery. Residents can request help or sign up to donate and volunteer. Organizations can help by clicking “I Represent a Local Organization” at the upper-right.,Dar es Salaam,Dar es Salaam,TZ,39.28671000000003,-6.814999999999941
3,5e99da9cb028143e04000091,Ontario W and WW Operator Matching Hub,https://owwomh.recovers.org,,This site is designed to facilitate community preparedness and recovery. Residents can request help or sign up to donate and volunteer. Organizations can help by clicking “I Represent a Local Organization” at the upper-right.,,Ontario,CA,-79.09185999999994,44.247780000000034
4,5e99034db02814ad83001095,Columbia Recovers,https://columbiacountyny.recovers.org,,This site is designed to facilitate community preparedness and recovery. Residents can request help or sign up to donate and volunteer. Organizations can help by clicking “I Represent a Local Organization” at the upper-right.,Town of Columbia,New York,US,-75.03640999999999,42.932450000000074
5,5e966560b02814217b0003c5,Watauga Neighbors Network Community Exchange,https://watauga.recovers.org,,This site is designed to facilitate community preparedness and recovery. Residents can request help or sign up to donate and volunteer. Organizations can help by clicking “I Represent a Local Organization” at the upper-right.,Watauga,Texas,US,-97.25501999999994,32.87462000000005
6,5e8ea5e4b02814bbbc001851,Beacon Hill COVID-19 Response,https://beaconhillwa.recovers.org,,This site is designed to facilitate community preparedness and recovery. Residents can request help or sign up to donate and volunteer. Organizations can help by clicking “I Represent a Local Organization” at the upper-right.,Seattle,Washington,US,-122.32944999999995,47.60357000000005
7,5e8bb1b3b0281475ee001f82,"COVID-19 Support for Halsey, OR",https://halsey.recovers.org,https://recovers-org-production.s3.amazonaws.com/slideshows/files/slideshow_image/image/5e8bbb3bb0281481df000002/orbit_four_columns_Halsey_from_above_with_rain.jpg,This site is designed to facilitate community preparedness and recovery. Residents can request help or sign up to donate and volunteer. Organizations can help by clicking “I Represent a Local Organization” at the upper-right.,Halsey,Oregon,US,-123.10981999999996,44.38437000000005
8,5e877b82b028144d6e00010e,San Juan Island Community Response Hub,https://sjisland.recovers.org,https://recovers-org-production.s3.amazonaws.com/slideshows/community/featured_image/5e877b82b028144d6e00010e/orbit_four_columns_Nurture_SJI_Logo.png,"This site is designed to facilitate San Juan Island's response and recovery for COVID-19.  
 Residents can request help or sign up to donate and volunteer.   
Organizations can join by clicking “I Represent a Local Organization” at the upper-right.",Friday Harbor,Washington,US,-123.01647999999994,48.53448000000003
9,5e86a726b028144a9d000536,Santa Clara Community,https://santaclara.recovers.org,,This site is designed to facilitate community preparedness and recovery. Residents can request help or sign up to donate and volunteer. Organizations can help by clicking “I Represent a Local Organization” at the upper-right.,Eugene,Oregon,US,-123.08853999999997,44.04992000000004
10,5e8667c5b0281412910005fa,COVID-19 Community Relief,https://covid19mx.recovers.org,,This site is designed to facilitate community preparedness and recovery. Residents can request help or sign up to donate and volunteer. Organizations can help by clicking “I Represent a Local Organization” at the upper-right.,Cuauhtémoc,Mexico City,MX,-99.13314999999994,19.431940000000054
11,5e84fbf5b028149d750002c0,Las Cruces Community Relief Hub,https://lascruces.recovers.org,,This site is designed to facilitate community preparedness and recovery. Residents can request help or sign up to donate and volunteer. Organizations can help by clicking “I Represent a Local Organization” at the upper-right.,Las Cruces,New Mexico,US,-106.77784999999994,32.30691000000007
12,5e83b829b0281486f30003e9,Petaluma Together,https://petaluma.recovers.org,,This site is designed to facilitate community preparedness and recovery. Residents can request help or sign up to donate and volunteer. Organizations can help by clicking “I Represent a Local Organization” at the upper-right.,Petaluma,California,US,-122.64443999999997,38.232470000000035
13,5e80f7f2b02814ace900079d,Orwell Community Network,https://orwell.recovers.org,,"Orwell Community Network helps members of the community give and receive support. You can request help, donate, or volunteer. Local community organizations can participate by clicking “I Represent a Local Organization” at the upper-right.",Orwell,Vermont,US,-73.29630999999995,43.80388000000005
