,Name,Homepage,Lat,Lng,Description,Locality,ListingSource,ListingSourceId,ListingSourceUpdated
0,Hinton St George COVID19 support group,https://m.facebook.com/groups/292580128393043/?ref=group_browse,50.910234,-2.825099,"Covid-19 Mutual Aid UK in Hinton St George, Somerset","Hinton St George, Somerset",redactor.api.ushahidi.io,c9f13064-3ffe-48ea-97e9-d69506f6ef1e,2020-04-01T12:45:19+00:00
1,Vicars Cross Covid-19 Mutual Aid,https://m.facebook.com/groups/759097954618017/,53.195126,-2.856839,"Covid-19 Mutual Aid UK in Vicars Cross, Chester","Vicars Cross, Chester",redactor.api.ushahidi.io,65657df5-4323-45d7-b9d2-b742bd737fdf,2020-04-01T12:45:17+00:00
2,Northolt COVID-19 Mutual Aid,https://www.facebook.com/groups/245432179832602/,51.546615,-0.373103,"Covid-19 Mutual Aid UK in Northolt, London","Northolt, London",redactor.api.ushahidi.io,b820ac9c-dd8e-43f0-87ea-00e6da239585,2020-04-01T12:45:15+00:00
3,Hangleton Covid-19 Mutual Aid,https://www.facebook.com/groups/2589276034647432/,50.847414,-0.198708,"Covid-19 Mutual Aid UK in Hangleton, East Sussex","Hangleton, East Sussex",redactor.api.ushahidi.io,8250ea2f-2d52-4d9d-afc4-17d7a2a47301,2020-04-01T12:45:13+00:00
4,Kibworth Isolation Relief Team,https://www.facebook.com/groups/3128551103912469/,52.537152,-0.994342,Covid-19 Mutual Aid UK in Kibworth Beauchamp,Kibworth Beauchamp,redactor.api.ushahidi.io,6873c27d-f242-4cbe-a5a6-c58a20f55354,2020-04-01T12:45:11+00:00
5,Hallwood Gardens Group,https://chat.whatsapp.com/IngJpEr0pWCLjwurGDonl6,53.64575,-2.645402,Covid-19 Mutual Aid UK in PR72FZ,PR72FZ,redactor.api.ushahidi.io,7c683ad2-ec33-4828-8b94-3854914ecc35,2020-04-01T12:45:09+00:00
6,COVID 19 mutual aid and support group,https://www.facebook.com/groups/618090745702801/,53.831915,-2.598802,Covid-19 Mutual Aid UK in Longridge Lancashire,Longridge Lancashire,redactor.api.ushahidi.io,aaead219-8dc8-4482-a2ec-b72bd17cf537,2020-04-01T12:45:07+00:00
7,https://www.facebook.com/groups/529837837942610/?ref=share,https://www.facebook.com/groups/529837837942610/?ref=share,54.72941,-1.88116,Covid-19 Mutual Aid UK in County Durham,County Durham,redactor.api.ushahidi.io,695a530a-6231-431c-acc1-829ea9945949,2020-04-01T12:45:05+00:00
8,Havant coronavirus support group,https://www.facebook.com/groups/1265130170342838/,50.851832,-0.984713,Covid-19 Mutual Aid UK in Havant,Havant,redactor.api.ushahidi.io,320df4ed-30ce-4d34-abc2-be4a2971c140,2020-04-01T12:45:03+00:00
9,Little Totham - Helping Each Other,https://www.facebook.com/littletotham/,51.774621,0.737151,Covid-19 Mutual Aid UK in Little Totham,Little Totham,redactor.api.ushahidi.io,11f331e9-3e07-448a-bdc2-bcf40ed22e07,2020-04-01T12:45:01+00:00
